sample_id,target_sequence
tw_01275,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n03
tw_01276,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n02
tw_01278,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n02 type_agreement parent_n07
tw_01280,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n04
tw_01288,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01289,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n04
tw_01290,type_question parent_n00 type_answer parent_n01 type_question parent_n02
tw_01293,type_elaboration parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_01294,type_question parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01297,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01300,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n03
tw_01301,type_answer parent_root type_elaboration parent_n01 type_agreement parent_n04
tw_01304,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01306,type_elaboration parent_root type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01309,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n03
tw_01317,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_01320,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01321,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n04
tw_01326,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01327,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n04
tw_01329,type_question parent_root type_answer parent_n00 type_question parent_n06
tw_01331,type_answer parent_root type_question parent_n02 type_answer parent_n03
tw_01333,type_answer parent_root type_question parent_n02 type_question parent_n04
tw_01335,type_answer parent_n00 type_question parent_n03 type_answer parent_n04
tw_01340,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_question parent_n03
tw_01344,type_question parent_root type_answer parent_n02 type_elaboration parent_n04
tw_01353,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03
tw_01355,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n04
tw_01359,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_01361,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_01366,type_elaboration parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01368,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_01373,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_01375,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_01383,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01384,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_01385,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n03
tw_01394,type_elaboration parent_n01 type_elaboration parent_n02 type_appreciation parent_n04
tw_01395,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01396,type_answer parent_root type_elaboration parent_n00 type_question parent_n04
tw_01398,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_01399,type_answer parent_n00 type_elaboration parent_n03 type_elaboration parent_n04
tw_01400,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_01402,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_01405,type_answer parent_n00 type_appreciation parent_n02 type_appreciation parent_n03
tw_01412,type_elaboration parent_n00 type_elaboration parent_n03 type_elaboration parent_n04
tw_01413,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_question parent_n03
tw_01414,type_question parent_n00 type_answer parent_n01 type_question parent_n02
tw_01419,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01421,type_answer parent_n00 type_elaboration parent_n02 type_question parent_n03
tw_01426,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01431,type_answer parent_root type_elaboration parent_n01 type_agreement parent_n02
tw_01432,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_01435,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_01442,type_answer parent_n00 type_elaboration parent_n03 type_appreciation parent_n04
tw_01445,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01448,type_answer parent_n00 type_answer parent_n01 type_question parent_n02
tw_01449,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01450,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n04
tw_01454,type_answer parent_n00 type_appreciation parent_n03 type_appreciation parent_n04
tw_01459,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01463,type_answer parent_root type_elaboration parent_n04 type_elaboration parent_n05
tw_01464,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01471,type_answer parent_n00 type_answer parent_n01 type_appreciation parent_n03
tw_01475,type_answer parent_n00 type_elaboration parent_n02 type_appreciation parent_n03
tw_01480,type_question parent_n00 type_answer parent_n01 type_question parent_n03
tw_01482,type_answer parent_root type_question parent_n02 type_answer parent_n03
tw_01493,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n02
tw_01494,type_question parent_n00 type_answer parent_n02 type_appreciation parent_n03
tw_01501,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01504,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01517,type_question parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01519,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01520,type_answer parent_n00 type_answer parent_n01 type_question parent_n02 type_answer parent_n03
tw_01523,type_answer parent_root type_elaboration parent_n01 type_elaboration parent_n03 type_agreement parent_n04
tw_01528,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_elaboration parent_n04
tw_01532,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_01534,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_01536,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01537,type_agreement parent_n00 type_question parent_n01 type_answer parent_n03 type_appreciation parent_n04
tw_01538,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01542,type_answer parent_root type_answer parent_n03 type_appreciation parent_n04
tw_01545,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01551,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01555,type_answer parent_n00 type_elaboration parent_n02 type_elaboration parent_n03
tw_01557,type_answer parent_root type_answer parent_n03 type_question parent_n04
tw_01565,type_question parent_n01 type_answer parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01570,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01573,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01575,type_answer parent_n00 type_appreciation parent_n01 type_answer parent_n02
tw_01577,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01578,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_01584,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_01587,type_question parent_n01 type_answer parent_n02 type_agreement parent_n03
tw_01590,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n03
tw_01595,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01596,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01597,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n07
tw_01600,type_question parent_root type_answer parent_n03 type_agreement parent_n04
tw_01602,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01605,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01607,type_elaboration parent_n00 type_elaboration parent_n01 type_elaboration parent_n03 type_agreement parent_n04
tw_01610,type_answer parent_root type_elaboration parent_n02 type_question parent_n04
tw_01612,type_answer parent_root type_question parent_n00 type_elaboration parent_n04 type_elaboration parent_n05
tw_01614,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01617,type_elaboration parent_n00 type_elaboration parent_n02 type_elaboration parent_n03
tw_01619,type_question parent_root type_answer parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01622,type_answer parent_n00 type_question parent_n01 type_answer parent_n04
tw_01630,type_elaboration parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01635,type_elaboration parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01637,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n01
tw_01641,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01642,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01645,type_answer parent_n00 type_elaboration parent_n02 type_appreciation parent_n03
tw_01647,type_elaboration parent_root type_elaboration parent_n02 type_agreement parent_n03
tw_01648,type_question parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01657,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_01659,type_answer parent_root type_question parent_n04 type_answer parent_n05
tw_01666,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03
tw_01669,type_elaboration parent_root type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01671,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01679,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01684,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01686,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_01689,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_01695,type_question parent_root type_answer parent_n01 type_agreement parent_n04
tw_01699,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n07
tw_01700,type_answer parent_n00 type_elaboration parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_01705,type_question parent_n02 type_answer parent_n03 type_elaboration parent_n04
tw_01706,type_elaboration parent_n01 type_elaboration parent_n02 type_agreement parent_n04
tw_01709,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01710,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01720,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_01723,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01724,type_question parent_root type_answer parent_n02 type_appreciation parent_n04
tw_01726,type_answer parent_n00 type_elaboration parent_n02 type_elaboration parent_n03
tw_01727,type_elaboration parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01731,type_elaboration parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01736,type_answer parent_n00 type_appreciation parent_n03 type_appreciation parent_n04
tw_01742,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01744,type_answer parent_n00 type_elaboration parent_n01 type_question parent_n02
tw_01749,type_elaboration parent_n00 type_elaboration parent_n03 type_agreement parent_n04
